query,label,label_text
Sinh câu hỏi thi giữa kỳ môn kinh tế,0,hỏi
Cho tôi câu hỏi về thể thao,0,hỏi
Tạo câu hỏi ôn tập về hóa hữu cơ,0,hỏi
Kiểm tra xem câu trả lời này có sai sót gì không,1,trả lời
Đánh giá câu trả lời về mặt nội dung,1,trả lời
Chấm điểm bài làm này giúp tôi,1,trả lời
Xem câu trả lời có đầy đủ không,1,trả lời
Review độ chính xác của câu trả lời,1,trả lời
Đánh giá xem trả lời có đúng trọng tâm không,1,trả lời
Kiểm tra câu trả lời có thiếu sót gì không,1,trả lời
Chấm bài tập về nhà này,1,trả lời
Xem câu trả lời này có logic không,1,trả lời
Đánh giá mức độ chi tiết của câu trả lời,1,trả lời
Mở ứng dụng Facebook,2,khác
Tìm kiếm khách sạn ở Hà Nội,2,khác
Đặt báo thức 6h30,2,khác
Gọi điện cho bố,2,khác
Phát podcast về khởi nghiệp,2,khác
Chỉ đường đến bệnh viện,2,khác
Tra cứu tỷ giá USD,2,khác
Kiểm tra email mới,2,khác
Đặt bàn nhà hàng 4 người,2,khác
Tìm công thức làm bánh,2,khác
Tạo ra câu hỏi về trí tuệ nhân tạo,0,hỏi
Sinh câu hỏi kiểm tra môn lịch sử thế giới,0,hỏi
Cho tôi câu hỏi về kiến trúc,0,hỏi
Tạo câu hỏi trắc nghiệm tiếng Trung,0,hỏi
Đưa ra câu hỏi về y học,0,hỏi
Làm câu hỏi về nhiếp ảnh,0,hỏi
Tạo câu hỏi về luật pháp Việt Nam,0,hỏi
Sinh câu hỏi thi Olympic toán,0,hỏi
Cho tôi câu hỏi về thiên văn học,0,hỏi
Tạo câu hỏi ôn tập môn sinh học 12,0,hỏi
Đánh giá câu trả lời có chuyên nghiệp không,1,trả lời
Kiểm tra câu trả lời có đạt yêu cầu không,1,trả lời
Chấm điểm và nhận xét bài làm,1,trả lời
Xem câu trả lời này được bao nhiêu phần trăm,1,trả lời
Review câu trả lời về mặt hình thức,1,trả lời
Đánh giá xem câu trả lời có sáng tạo không,1,trả lời
Kiểm tra câu trả lời có dễ hiểu không,1,trả lời
Chấm bài kiểm tra 15 phút,1,trả lời
Xem câu trả lời này có ấn tượng không,1,trả lời
Đánh giá tính thuyết phục của câu trả lời,1,trả lời
Tắt điều hòa,2,khác
Tìm phim hay trên Netflix,2,khác
Đặt hẹn gặp bác sĩ,2,khác
Nhắn tin cho anh,2,khác
Phát radio VOV,2,khác
Dẫn đường về nhà,2,khác
Tra giá Bitcoin,2,khác
Xem thông báo mới,2,khác
Đặt tour du lịch Sapa,2,khác
Tìm cách sửa máy tính,2,khác
Hãy cho tôi câu hỏi về đạo đức kinh doanh,0,hỏi
Sinh câu hỏi kiểm tra về photoshop,0,hỏi
Cho tôi câu hỏi về văn hóa Nhật Bản,0,hỏi
Tạo câu hỏi trắc nghiệm môn công nghệ,0,hỏi
Đưa ra câu hỏi về dinh dưỡng,0,hỏi
Làm câu hỏi về thiết kế đồ họa,0,hỏi
Tạo câu hỏi về chính trị quốc tế,0,hỏi
Sinh câu hỏi thi HSK tiếng Trung,0,hỏi
Cho tôi câu hỏi về điện ảnh,0,hỏi
Tạo câu hỏi ôn tập về hóa vô cơ,0,hỏi
Kiểm tra câu trả lời có phù hợp với câu hỏi không,1,trả lời
Đánh giá câu trả lời về độ dài,1,trả lời
Chấm điểm bài thi cuối kỳ,1,trả lời
Xem câu trả lời có cần bổ sung gì không,1,trả lời
Review câu trả lời về ngữ pháp,1,trả lời
Đánh giá xem câu trả lời có rõ ràng không,1,trả lời
Kiểm tra câu trả lời có trùng lặp ý không,1,trả lời
Chấm bài tập lớn này,1,trả lời
Xem câu trả lời này đạt tiêu chuẩn chưa,1,trả lời
Đánh giá tính nhất quán của câu trả lời,1,trả lời
Bật quạt,2,khác
Tìm tin tức hôm nay,2,khác
Lên lịch họp tuần sau,2,khác
Gửi email cho sếp,2,khác
Phát nhạc thư giãn,2,khác
Chỉ đường đến trường học,2,khác
Tra giá iPhone 15,2,khác
Kiểm tra lịch làm việc,2,khác
Đặt vé xem phim,2,khác
Tìm bài tập yoga,2,khác
Tạo câu hỏi về cách mạng công nghiệp 4.0,0,hỏi
Sinh câu hỏi kiểm tra về Excel,0,hỏi
Cho tôi câu hỏi về âm nhạc dân gian,0,hỏi
Tạo câu hỏi trắc nghiệm môn giáo dục công dân,0,hỏi
Đưa ra câu hỏi về khởi nghiệp,0,hỏi
Làm câu hỏi về văn học thế giới,0,hỏi
Tạo câu hỏi về bảo mật thông tin,0,hỏi
Sinh câu hỏi thi IELTS,0,hỏi
Cho tôi câu hỏi về hội họa,0,hỏi
Tạo câu hỏi ôn tập về vật lý 11,0,hỏi
Đánh giá câu trả lời có trả lời đúng trọng tâm không,1,trả lời
Kiểm tra câu trả lời có nhiều lỗi chính tả không,1,trả lời
Chấm điểm và phân loại học lực,1,trả lời
Xem câu trả lời có cần chỉnh sửa gì không,1,trả lời
Review câu trả lời về mặt ý nghĩa,1,trả lời
Đánh giá xem câu trả lời có thuyết phục không,1,trả lời
Kiểm tra câu trả lời có đủ dài không,1,trả lời
Chấm bài luận văn này,1,trả lời
Xem câu trả lời này có độc đáo không,1,trả lời
Đánh giá độ tin cậy của câu trả lời,1,trả lời
Tắt tivi,2,khác
Tìm bài hát theo lời,2,khác
Đặt lịch nhắc uống thuốc,2,khác
Nhắn Zalo cho chị,2,khác
Phát sách nói,2,khác
Chỉ đường đến siêu thị,2,khác
Tra cứu giá xăng,2,khác
Kiểm tra tin nhắn mới,2,khác
Đặt vé tàu đi Huế,2,khác
Tìm cách giảm cân,2,khác
Hãy tạo câu hỏi về marketing online,0,hỏi
Sinh câu hỏi kiểm tra về SQL,0,hỏi
Cho tôi câu hỏi về phong tục Việt Nam,0,hỏi
Tạo câu hỏi trắc nghiệm môn tư tưởng,0,hỏi
Đưa ra câu hỏi về đầu tư chứng khoán,0,hỏi
Làm câu hỏi về điêu khắc,0,hỏi
Tạo câu hỏi về biến đổi khí hậu,0,hỏi
Sinh câu hỏi thi TOEIC,0,hỏi
Cho tôi câu hỏi về âm nhạc hiện đại,0,hỏi
Tạo câu hỏi ôn tập về hóa học 10,0,hỏi
Kiểm tra xem câu trả lời có đạt điểm tối đa không,1,trả lời
Đánh giá câu trả lời về cấu trúc,1,trả lời
Chấm điểm bài thi thử,1,trả lời
Xem câu trả lời có mạch lạc không,1,trả lời
Review câu trả lời về độ chính xác khoa học,1,trả lời
Đánh giá xem câu trả lời có sáng tạo hay không,1,trả lời
Kiểm tra câu trả lời có lỗi logic không,1,trả lời
Chấm bài thực hành này,1,trả lời
Xem câu trả lời này đủ tiêu chuẩn chưa,1,trả lời
Đánh giá tính hợp lý của câu trả lời,1,trả lời
Mở Youtube,2,khác
Tìm nhà thuốc gần nhất,2,khác
Đặt lịch cắt tóc,2,khác
Gọi cho em,2,khác
Phát nhạc Kpop,2,khác
Dẫn đường đến công ty,2,khác
Tra giá vé máy bay,2,khác
Xem lịch sử cuộc gọi,2,khác
Đặt dịch vụ giặt ủi,2,khác
Tìm bài tập gym,2,khác
Tạo ra một số câu hỏi về quản lý dự án,0,hỏi
Sinh câu hỏi kiểm tra về HTML CSS,0,hỏi
Cho tôi câu hỏi về ẩm thực Ý,0,hỏi
Tạo câu hỏi trắc nghiệm môn văn học,0,hỏi
Đưa ra câu hỏi về tài chính cá nhân,0,hỏi
Làm câu hỏi về nhiếp ảnh nghệ thuật,0,hỏi
Tạo câu hỏi về năng lượng tái tạo,0,hỏi
Sinh câu hỏi thi đầu vào lớp 10,0,hỏi
Cho tôi câu hỏi về ballet,0,hỏi
Tạo câu hỏi ôn tập về sinh học 11,0,hỏi
Đánh giá câu trả lời có xuất sắc không,1,trả lời
Kiểm tra câu trả lời có sử dụng từ ngữ chính xác không,1,trả lời
Chấm điểm bài kiểm tra giữa kỳ,1,trả lời
Xem câu trả lời có đáp ứng yêu cầu đề bài không,1,trả lời
Review câu trả lời về tính thực tiễn,1,trả lời
Đánh giá xem câu trả lời có dễ nhớ không,1,trả lời
Kiểm tra câu trả lời có thiếu dữ liệu không,1,trả lời
Chấm bài báo cáo này,1,trả lời
Xem câu trả lời này có giá trị không,1,trả lời
Đánh giá độ phức tạp của câu trả lời,1,trả lời
Tắt máy sưởi,2,khác
Tìm cửa hàng điện thoại,2,khác
Đặt lịch học yoga,2,khác
Nhắn tin cho thầy,2,khác
Phát nhạc acoustic,2,khác
Chỉ đường đến bưu điện,2,khác
Tra giá đất Hà Nội,2,khác
Kiểm tra thông báo Facebook,2,khác
Đặt xe Grab về nhà,2,khác
Tìm cách nấu bún chả,2,khác
Hãy cho tôi câu hỏi về tâm lý học tội phạm,0,hỏi
Sinh câu hỏi kiểm tra về Java,0,hỏi
Cho tôi câu hỏi về phong cách thời trang,0,hỏi
Tạo câu hỏi trắc nghiệm môn lịch sử Việt Nam,0,hỏi
Đưa ra câu hỏi về logistics,0,hỏi
Làm câu hỏi về thơ ca Việt Nam,0,hỏi
Tạo câu hỏi về công nghệ 5G,0,hỏi
Sinh câu hỏi thi chứng chỉ tin học,0,hỏi
Cho tôi câu hỏi về opera,0,hỏi
Tạo câu hỏi ôn tập về toán học 12,0,hỏi
Kiểm tra câu trả lời có được điểm cao không,1,trả lời
Đánh giá câu trả lời về mặt trình bày,1,trả lời
Chấm điểm và xếp hạng,1,trả lời
Xem câu trả lời có logic chặt chẽ không,1,trả lời
Review câu trả lời về tính sáng tạo,1,trả lời
Đánh giá xem câu trả lời có phù hợp ngữ cảnh không,1,trả lời
Kiểm tra câu trả lời có dư thừa không,1,trả lời
Chấm bài seminar này,1,trả lời
Xem câu trả lời này có chất lượng không,1,trả lời
Đánh giá tính ứng dụng của câu trả lời,1,trả lời
Bật máy lạnh,2,khác
Tìm gym gần đây,2,khác
Đặt lịch khám răng,2,khác
Gọi cho cô,2,khác
Phát nhạc jazz,2,khác
Dẫn đường đến nhà hàng,2,khác
Tra giá laptop,2,khác
Xem tin nhắn Facebook,2,khác
Đặt vé concert,2,khác
Tìm cách làm đẹp da,2,khác
Tạo câu hỏi về thương mại điện tử,0,hỏi
Sinh câu hỏi kiểm tra về React,0,hỏi
Cho tôi câu hỏi về du lịch Châu Âu,0,hỏi
Tạo câu hỏi trắc nghiệm môn sinh học,0,hỏi
Đưa ra câu hỏi về bất động sản,0,hỏi
Làm câu hỏi về nghệ thuật đương đại,0,hỏi
Tạo câu hỏi về trí tuệ cảm xúc,0,hỏi
Sinh câu hỏi thi thạc sĩ,0,hỏi
Cho tôi câu hỏi về nhạc cụ dân tộc,0,hỏi
Tạo câu hỏi ôn tập về địa lý 12,0,hỏi
Đánh giá câu trả lời có toàn diện không,1,trả lời
Kiểm tra câu trả lời có đúng format không,1,trả lời
Chấm điểm bài thi Olympic,1,trả lời
Xem câu trả lời có đủ thông tin không,1,trả lời
Review câu trả lời về độ phức tạp,1,trả lời
Đánh giá xem câu trả lời có dễ hiểu hay không,1,trả lời
Kiểm tra câu trả lời có lặp lại ý không,1,trả lời
Chấm bài đồ án này,1,trả lời
Xem câu trả lời này có ý nghĩa không,1,trả lời
Đánh giá mức độ sâu sắc của câu trả lời,1,trả lời
Tắt đèn,2,khác
Tìm spa gần đây,2,khác
Lên lịch họp phụ huynh,2,khác
Nhắn cho bạn,2,khác
Phát nhạc EDM,2,khác
Chỉ đường đến công viên,2,khác
Tra giá Samsung Galaxy,2,khác
Kiểm tra Instagram,2,khác
Đặt xe đi sân bay,2,khác
Tìm cách chăm sóc tóc,2,khác
Hãy tạo câu hỏi về kỹ năng lãnh đạo,0,hỏi
Sinh câu hỏi kiểm tra về Angular,0,hỏi
Cho tôi câu hỏi về ẩm thực Nhật Bản,0,hỏi
Tạo câu hỏi trắc nghiệm môn hóa học,0,hỏi
Đưa ra câu hỏi về thị trường chứng khoán,0,hỏi
Làm câu hỏi về nhiếp ảnh phóng sự,0,hỏi
Tạo câu hỏi về phát triển bền vững,0,hỏi
Sinh câu hỏi thi tiếng Anh B1,0,hỏi
Cho tôi câu hỏi về guitar,0,hỏi
Tạo câu hỏi ôn tập về vật lý 10,0,hỏi
Kiểm tra xem câu trả lời này có hay không,1,trả lời
Đánh giá câu trả lời về mặt ngữ pháp,1,trả lời
Chấm điểm bài thi học kỳ,1,trả lời
Xem câu trả lời có cần sửa gì không,1,trả lời
Review câu trả lời về tính khoa học,1,trả lời
Đánh giá xem câu trả lời có đầy đủ hay không,1,trả lời
Kiểm tra câu trả lời có rõ ràng không,1,trả lời
Chấm bài tiểu luận này,1,trả lời
Xem câu trả lời này có đúng không,1,trả lời
Đánh giá tính chính xác của câu trả lời,1,trả lời
Mở Spotify,2,khác
Tìm phòng tập gần đây,2,khác
Đặt lịch massage,2,khác
Gọi cho người yêu,2,khác
Phát podcast kinh tế,2,khác
Dẫn đường về quê,2,khác
Tra giá nhà Sài Gòn,2,khác
Xem thông báo Zalo,2,khác
Đặt tour Phú Quốc,2,khác
Tìm bài tập cardio,2,khác
Tạo ra câu hỏi về đạo đức nghề nghiệp,0,hỏi
Sinh câu hỏi kiểm tra về Node.js,0,hỏi
Cho tôi câu hỏi về văn hóa Hàn Quốc,0,hỏi
Tạo câu hỏi trắc nghiệm môn lý thuyết trò chơi,0,hỏi
Đưa ra câu hỏi về quản trị nhân sự,0,hỏi
Làm câu hỏi về điện ảnh Việt Nam,0,hỏi
Tạo câu hỏi về Internet of Things,0,hỏi
Sinh câu hỏi thi Cambridge,0,hỏi
Cho tôi câu hỏi về piano,0,hỏi
Tạo câu hỏi ôn tập về hóa học 11,0,hỏi
Đánh giá câu trả lời có chuyên sâu không,1,trả lời
Kiểm tra câu trả lời có lỗi sai nào không,1,trả lời
Chấm điểm bài kiểm tra 45 phút,1,trả lời
Xem câu trả lời có hợp lý không,1,trả lời
Review câu trả lời về độ chi tiết,1,trả lời
Đánh giá xem câu trả lời có logic hay không,1,trả lời
Kiểm tra câu trả lời có sai lệch không,1,trả lời
Chấm bài nghiên cứu này,1,trả lời
Xem câu trả lời này có tốt không,1,trả lời
Đánh giá chất lượng tổng thể của câu trả lời,1,trả lời
Tắt máy giặt,2,khác
Tìm salon tóc gần nhất,2,khác
Đặt lịch làm móng,2,khác
Nhắn tin cho đồng nghiệp,2,khác
Phát radio BBC,2,khác
Chỉ đường đến bảo tàng,2,khác
Tra giá vàng 9999,2,khác
Kiểm tra Messenger,2,khác
Đặt vé máy bay đi Bangkok,2,khác
Tìm công thức làm bánh flan,2,khác
Hãy cho tôi câu hỏi về kỹ năng thuyết trình,0,hỏi
Sinh câu hỏi kiểm tra về MongoDB,0,hỏi
Cho tôi câu hỏi về du lịch Đông Nam Á,0,hỏi
Tạo câu hỏi trắc nghiệm môn triết học,0,hỏi
Đưa ra câu hỏi về tiếp thị số,0,hỏi
Làm câu hỏi về nhiếp ảnh cưới,0,hỏi
Tạo câu hỏi về trí tuệ nhân tạo trong y tế,0,hỏi
Sinh câu hỏi thi TOPIK tiếng Hàn,0,hỏi
Cho tôi câu hỏi về trống dân gian,0,hỏi
Tạo câu hỏi ôn tập về sinh học 10,0,hỏi
Kiểm tra câu trả lời có đạt chuẩn không,1,trả lời
Đánh giá câu trả lời về tính nhất quán,1,trả lời
Chấm điểm bài thi tuyển sinh,1,trả lời
Xem câu trả lời có đủ ví dụ không,1,trả lời
Review câu trả lời về độ sâu,1,trả lời
Đánh giá xem câu trả lời có cấu trúc tốt không,1,trả lời
Kiểm tra câu trả lời có mâu thuẫn không,1,trả lời
Chấm bài khóa luận này,1,trả lời
Xem câu trả lời này có xuất sắc không,1,trả lời
Đánh giá độ hoàn chỉnh của câu trả lời,1,trả lời
Bật máy hút ẩm,2,khác
Tìm tiệm nail gần đây,2,khác
Đặt lịch tư vấn tâm lý,2,khác
Gửi email cho đối tác,2,khác
Phát nhạc bolero,2,khác
Dẫn đường đến thư viện,2,khác
Tra giá xe máy Honda,2,khác
Xem cuộc gọi nhớ,2,khác
Đặt khách sạn Nha Trang,2,khác
Tìm cách trị mụn,2,khác
Tạo câu hỏi về phân tích dữ liệu,0,hỏi
Sinh câu hỏi kiểm tra về Docker,0,hỏi
Cho tôi câu hỏi về ẩm thực Thái Lan,0,hỏi
Tạo câu hỏi trắc nghiệm môn tâm lý học,0,hỏi
Đưa ra câu hỏi về quản trị thương hiệu,0,hỏi
Làm câu hỏi về thiết kế nội thất,0,hỏi
Tạo câu hỏi về machine learning,0,hỏi
Sinh câu hỏi thi JLPT tiếng Nhật,0,hỏi
Cho tôi câu hỏi về sáo trúc,0,hỏi
Tạo câu hỏi ôn tập về toán học 11,0,hỏi
Đánh giá câu trả lời có ấn tượng hay không,1,trả lời
Kiểm tra câu trả lời có thiếu ví dụ không,1,trả lời
Chấm điểm và viết nhận xét,1,trả lời
Xem câu trả lời có rõ ràng mạch lạc không,1,trả lời
Review câu trả lời về tính thuyết phục,1,trả lời
Tạo cho tôi 10 câu hỏi về lập trình Pascal,0,hỏi
Sinh câu hỏi trắc nghiệm về mảng trong Pascal,0,hỏi
Cho tôi vài câu hỏi về thuật toán sắp xếp,0,hỏi
Làm câu hỏi kiểm tra về vòng lặp for,0,hỏi
Tạo câu hỏi về cấu trúc dữ liệu ngăn xếp,0,hỏi
Sinh 5 câu hỏi về hàm trong Python,0,hỏi
Đưa ra câu hỏi về thuật toán tìm kiếm nhị phân,0,hỏi
Tạo câu hỏi thi học kỳ môn tin học 11,0,hỏi
Cho tôi câu hỏi về mạng máy tính,0,hỏi
Sinh câu hỏi ôn tập về đệ quy,0,hỏi
Chấm bài làm tin học của học sinh,1,trả lời
Viết chương trình tính giai thừa bằng Pascal,2,khác
Giải thích thuật toán Bubble Sort cho tôi,2,khác
Code Pascal tìm số nguyên tố,2,khác
Hướng dẫn cách sử dụng hàm trong Python,2,khác
Tạo file Excel quản lý điểm học sinh,2,khác
Giải bài toán này bằng Pascal,2,khác
Kể cho tôi nghe về lịch sử máy tính,2,khác
Làm bài tập về mảng 2 chiều,2,khác
Tính độ phức tạp của thuật toán này,2,khác
Viết một bài văn về công nghệ thông tin,2,khác
Hãy tạo câu hỏi về câu lệnh if-else trong Pascal,0,hỏi
Cho tôi một số câu hỏi liên quan đến SQL cơ bản,0,hỏi
Sinh câu hỏi kiểm tra về biến và kiểu dữ liệu,0,hỏi
Tạo câu hỏi trắc nghiệm về thuật toán tìm kiếm,0,hỏi
Đưa ra câu hỏi về cấu trúc mảng,0,hỏi
Làm câu hỏi về giao thức TCP/IP,0,hỏi
Tạo 3 câu hỏi về Excel cơ bản,0,hỏi
Sinh câu hỏi thi cuối kỳ tin học 10,0,hỏi
Cho tôi câu hỏi về thuật toán đệ quy,0,hỏi
Tạo câu hỏi ôn thi đại học môn tin,0,hỏi
Đánh giá bài làm tin học này,1,trả lời
Kiểm tra độ chính xác code Pascal,1,trả lời
Đánh giá xem code có chạy đúng không,1,trả lời
Chấm bài kiểm tra tin học này,1,trả lời
Đánh giá chất lượng code Pascal,1,trả lời
Debug đoạn code Pascal này,2,khác
Tìm lỗi trong chương trình Python,2,khác
Giải thích sự khác biệt giữa while và for,2,khác
Chuyển code Pascal sang Python,2,khác
Tạo sơ đồ khối cho thuật toán này,2,khác
Viết hàm tìm ƯCLN trong Pascal,2,khác
Hướng dẫn cách dùng hàm IF trong Excel,2,khác
Tạo slide PowerPoint về lịch sử tin học,2,khác
Viết chương trình nhập xuất mảng,2,khác
Giải thích con trỏ trong Pascal,2,khác
Hãy tạo cho tôi các câu hỏi về thuật toán QuickSort,0,hỏi
Sinh câu hỏi kiểm tra về chuỗi trong Pascal,0,hỏi
Cho tôi câu hỏi về cơ sở dữ liệu Access,0,hỏi
Tạo câu hỏi trắc nghiệm về địa chỉ IP,0,hỏi
Đưa ra câu hỏi về hàm và thủ tục trong Pascal,0,hỏi
Làm câu hỏi kiểm tra về Python list,0,hỏi
Tạo câu hỏi về thuật toán tham lam,0,hỏi
Sinh câu hỏi thi giữa kỳ tin học 12,0,hỏi
Cho tôi câu hỏi về mô hình OSI,0,hỏi
Tạo câu hỏi ôn tập về file trong Pascal,0,hỏi
Đánh giá câu trả lời về thuật toán,1,trả lời
Chấm điểm bài làm tin học này giúp tôi,1,trả lời
Review độ chính xác của code,1,trả lời
Đánh giá xem code có tối ưu không,1,trả lời
Kiểm tra câu trả lời có thiếu bước nào không,1,trả lời
Chấm bài tập Pascal về nhà này,1,trả lời
Đánh giá mức độ chi tiết của lời giải,1,trả lời
Viết chương trình sắp xếp mảng tăng dần,2,khác
Giải thích cách hoạt động của bộ nhớ cache,2,khác
Tạo database quản lý thư viện trong Access,2,khác
Code thuật toán Dijkstra bằng Pascal,2,khác
Hướng dẫn cách dùng hàm VLOOKUP trong Excel,2,khác
Vẽ sơ đồ mạng LAN cho trường học,2,khác
Viết chương trình kiểm tra số hoàn hảo,2,khác
Giải thích khái niệm lập trình hướng đối tượng,2,khác
Tạo bài thuyết trình PowerPoint về AI,2,khác
Code chương trình giải phương trình bậc 2,2,khác
Tạo ra câu hỏi về cấu trúc rẽ nhánh,0,hỏi
Sinh câu hỏi kiểm tra về dictionary trong Python,0,hỏi
Cho tôi câu hỏi về subnet mask,0,hỏi
Tạo câu hỏi trắc nghiệm về thuật toán Merge Sort,0,hỏi
Đưa ra câu hỏi về record trong Pascal,0,hỏi
Làm câu hỏi về bảng pivot trong Excel,0,hỏi
Tạo câu hỏi về giao thức HTTP,0,hỏi
Sinh câu hỏi thi Olympic tin học,0,hỏi
Cho tôi câu hỏi về thuật toán quy hoạch động,0,hỏi
Tạo câu hỏi ôn tập về pointer,0,hỏi
Đánh giá câu trả lời có logic chặt chẽ không,1,trả lời
Kiểm tra câu trả lời về thuật toán có đạt yêu cầu không,1,trả lời
Chấm điểm và nhận xét bài code,1,trả lời
Xem code này được bao nhiêu phần trăm,1,trả lời
Review câu trả lời về mặt thuật toán,1,trả lời
Đánh giá xem code có tối ưu bộ nhớ không,1,trả lời
Kiểm tra code có dễ đọc không,1,trả lời
Chấm bài kiểm tra 15 phút tin học,1,trả lời
Đánh giá tính đúng đắn của thuật toán,1,trả lời
Giải bài toán dãy Fibonacci bằng đệ quy,2,khác
Viết chương trình quản lý sinh viên,2,khác
Tạo biểu đồ trong Excel từ dữ liệu,2,khác
Code thuật toán tìm đường đi ngắn nhất,2,khác
Giải thích sự khác biệt Pascal và Python,2,khác
Viết hàm kiểm tra chuỗi palindrome,2,khác
Hướng dẫn cách tạo form trong Access,2,khác
Tạo macro trong Excel tự động tính điểm,2,khác
Viết chương trình chơi game đoán số,2,khác
Giải thích cách thức hoạt động của router,2,khác
Hãy cho tôi câu hỏi về mảng động trong Pascal,0,hỏi
Sinh câu hỏi kiểm tra về tuple trong Python,0,hỏi
Cho tôi câu hỏi về mô hình client-server,0,hỏi
Tạo câu hỏi trắc nghiệm về thuật toán BFS,0,hỏi
Đưa ra câu hỏi về xử lý file text,0,hỏi
Làm câu hỏi về hàm COUNT trong Excel,0,hỏi
Tạo câu hỏi về mạng không dây WiFi,0,hỏi
Sinh câu hỏi thi HSG tin học cấp tỉnh,0,hỏi
Cho tôi câu hỏi về cây nhị phân,0,hỏi
Tạo câu hỏi ôn tập về con trỏ trong Pascal,0,hỏi
Kiểm tra code Pascal có chạy đúng không,1,trả lời
Đánh giá câu trả lời về độ phức tạp thuật toán,1,trả lời
Chấm điểm bài thi cuối kỳ tin học,1,trả lời
Xem code có cần tối ưu gì không,1,trả lời
Review câu trả lời về syntax,1,trả lời
Đánh giá xem thuật toán có hiệu quả không,1,trả lời
Kiểm tra code có lỗi runtime không,1,trả lời
Chấm bài tập lớn tin học này,1,trả lời
Xem giải thuật này đạt tiêu chuẩn chưa,1,trả lời
Đánh giá tính đúng đắn của code,1,trả lời
Viết chương trình tính tổng các số nguyên tố,2,khác
Tạo cơ sở dữ liệu quản lý bán hàng,2,khác
Code thuật toán tháp Hà Nội,2,khác
Giải thích sự khác biệt giữa stack và queue,2,khác
Viết hàm tìm số lớn nhất trong mảng,2,khác
Hướng dẫn mail merge trong Word,2,khác
Tạo biểu đồ tròn trong PowerPoint,2,khác
Viết chương trình đếm từ trong chuỗi,2,khác
Giải thích cách thức mã hóa dữ liệu,2,khác
